"","human_ensembl","human_symbol","mouse_ensembl","mouse_symbol","orthology_type","human_tau","human_p","human_dev","human_dir","human_trait","mouse_tau","mouse_p","mouse_dev","mouse_dir","mouse_trait","sign_concordant","abs_tau_human","abs_tau_mouse","Chr","qtl_type","pos_bp","Lod","has_pqtl","cis_pqtl","trans_pqtl","mash_protein","is_mash"
"1","ENSG00000159228","CBR1","ENSMUSG00000051483","Cbr1","ortholog_one2many",-0.26621820493129,0.0235254346008156,0.511291228608639,"-1","Liver.fat....",-0.102571129427802,0.521206975546078,0.0479537104183737,"-1","Steatosis_perc_24",TRUE,0.26621820493129,0.102571129427802,16,"trans",95300035,11.9822882529776,TRUE,FALSE,TRUE,NA,FALSE
"2","ENSG00000159228","CBR1","ENSMUSG00000051483","Cbr1","ortholog_one2many",-0.26621820493129,0.0235254346008156,0.511291228608639,"-1","Liver.fat....",-0.102571129427802,0.521206975546078,0.0479537104183737,"-1","Steatosis_perc_24",TRUE,0.26621820493129,0.102571129427802,16,"cis",94329386,11.4746331307156,TRUE,TRUE,FALSE,NA,FALSE
"3","ENSG00000160294","MCM3AP","ENSMUSG00000001150","Mcm3ap","ortholog_one2one",0.195451340329302,0.214668521496433,0.0462613737723803,"1","Liver.fat....",-0.0324174613665691,0.535611434942598,0.0714382121303781,"-1","Steatosis_perc_24",FALSE,0.195451340329302,0.0324174613665691,10,"cis",76708847,18.8497161572087,TRUE,TRUE,FALSE,NA,FALSE
"4","ENSG00000160294","MCM3AP","ENSMUSG00000001150","Mcm3ap","ortholog_one2one",0.195451340329302,0.214668521496433,0.0462613737723803,"1","Liver.fat....",-0.0324174613665691,0.535611434942598,0.0714382121303781,"-1","Steatosis_perc_24",FALSE,0.195451340329302,0.0324174613665691,10,"trans",77515621,18.8497160780647,TRUE,FALSE,TRUE,NA,FALSE
"5","ENSG00000204899","MZT1","ENSMUSG00000033186","Mzt1","ortholog_one2one",-0.178602086852638,0.161500781026809,0.298068342385408,"-1","Liver.fat....",0.0380952380952381,0.323168839214286,0.136171893106855,"1","Steatosis_perc_24",FALSE,0.178602086852638,0.0380952380952381,8,"trans",27275447,6.05090566198522,TRUE,FALSE,TRUE,NA,FALSE
"6","ENSG00000159140","SON","ENSMUSG00000022961","Son","ortholog_one2one",0.0741367152973214,0.664877996387942,0.00575655149464664,"1","Liver.fat....",-0.054031736112661,0.406605764118247,0.0446929640878561,"-1","Steatosis_perc_24",FALSE,0.0741367152973214,0.054031736112661,16,"cis",92099459,31.0691363435066,TRUE,TRUE,FALSE,NA,FALSE
"7","ENSG00000159140","SON","ENSMUSG00000022961","Son","ortholog_one2one",0.0741367152973214,0.664877996387942,0.00575655149464664,"1","Liver.fat....",-0.054031736112661,0.406605764118247,0.0446929640878561,"-1","Steatosis_perc_24",FALSE,0.0741367152973214,0.054031736112661,16,"trans",90499446,29.2922627068196,TRUE,FALSE,TRUE,NA,FALSE
"8","ENSG00000185950","IRS2","ENSMUSG00000038894","Irs2","ortholog_one2one",-0.299916711884618,0.0213679825552666,0.265485684682462,"-1","Liver.fat....",-0.244414834554741,1.14276017065817e-06,0.095080975420432,"-1","Steatosis_perc_24",TRUE,0.299916711884618,0.244414834554741,2,"trans",65099230,6.84660266231163,TRUE,FALSE,TRUE,NA,FALSE
"9","ENSG00000185950","IRS2","ENSMUSG00000038894","Irs2","ortholog_one2one",-0.299916711884618,0.0213679825552666,0.265485684682462,"-1","Liver.fat....",-0.244414834554741,1.14276017065817e-06,0.095080975420432,"-1","Steatosis_perc_24",TRUE,0.299916711884618,0.244414834554741,1,"trans",192726309,5.04895405685684,TRUE,FALSE,TRUE,NA,FALSE
"10","ENSG00000178695","KCTD12","ENSMUSG00000098557","Kctd12","ortholog_one2one",0.0370683576486607,0.665534236249567,0.00573264102620568,"1","Liver.fat....",0.164538927054973,0,0.192720280216971,"1","Steatosis_perc_24",TRUE,0.0370683576486607,0.164538927054973,4,"trans",40695079,4.75129980451369,TRUE,FALSE,TRUE,NA,FALSE
"11","ENSG00000183098","GPC6","ENSMUSG00000058571","Gpc6","ortholog_one2one",0.195451340329302,0.226720777958249,0.0439601221519838,"1","Liver.fat....",0.156129400435139,0,0.102330904543403,"1","Steatosis_perc_24",TRUE,0.195451340329302,0.156129400435139,14,"trans",120020975,7.31374376302127,TRUE,FALSE,TRUE,NA,FALSE
"12","ENSG00000101546","RBFA","ENSMUSG00000024570","Rbfa","ortholog_one2one",0.151643281289976,0.500263852459996,0.014121605396977,"1","Liver.fat....",0.0568353341138964,0.393435336193156,0.0416426466373718,"1","Steatosis_perc_24",TRUE,0.151643281289976,0.0568353341138964,18,"trans",78146291,25.0216699961338,TRUE,FALSE,TRUE,NA,FALSE
"13","ENSG00000101546","RBFA","ENSMUSG00000024570","Rbfa","ortholog_one2one",0.151643281289976,0.500263852459996,0.014121605396977,"1","Liver.fat....",0.0568353341138964,0.393435336193156,0.0416426466373718,"1","Steatosis_perc_24",TRUE,0.151643281289976,0.0568353341138964,18,"cis",80117722,24.8983217205736,TRUE,TRUE,FALSE,NA,FALSE
